date,home_team,away_team,home_score,away_score,tournament,neutral
2014-05-02,Croatia,Mexico,2,1,FIFA World Cup qualification,False
2014-05-04,Germany,Mexico,1,0,FIFA World Cup qualification,False
2014-05-06,Portugal,Mexico,2,0,FIFA World Cup qualification,False
2014-05-08,Japan,Mexico,1,0,FIFA World Cup qualification,False
2014-05-10,USA,Mexico,1,1,FIFA World Cup qualification,False
2014-05-12,Belgium,Mexico,1,0,FIFA World Cup qualification,False
2014-05-14,England,Mexico,0,0,FIFA World Cup qualification,False
2014-05-16,Spain,Mexico,5,4,FIFA World Cup qualification,False
2014-05-18,Brazil,Mexico,4,2,FIFA World Cup qualification,False
2014-05-20,South Korea,Mexico,1,4,FIFA World Cup qualification,False
2014-05-22,Argentina,Mexico,1,0,FIFA World Cup qualification,False
2014-05-24,Uruguay,Nigeria,1,1,FIFA World Cup qualification,False
2014-05-26,Croatia,Nigeria,3,0,FIFA World Cup qualification,False
2014-05-28,Germany,Nigeria,2,1,FIFA World Cup qualification,False
2014-05-30,Portugal,Nigeria,2,1,FIFA World Cup qualification,False
2014-06-01,Japan,Nigeria,4,1,FIFA World Cup qualification,False
2014-06-03,USA,Nigeria,2,1,FIFA World Cup qualification,False
2014-06-05,Belgium,Nigeria,2,2,FIFA World Cup qualification,False
2014-06-07,England,Nigeria,3,2,FIFA World Cup qualification,False
2014-06-09,Spain,Nigeria,3,0,FIFA World Cup qualification,False
2014-06-11,Brazil,Nigeria,2,1,FIFA World Cup qualification,False
2014-06-13,South Korea,Nigeria,1,0,FIFA World Cup qualification,False
2014-06-14,France,England,2,1,FIFA World Cup,True
2014-06-15,Argentina,Nigeria,3,0,FIFA World Cup qualification,False
2014-06-15,France,Netherlands,1,3,FIFA World Cup,True
2014-06-16,France,Belgium,1,0,FIFA World Cup,True
2014-06-17,Croatia,Uruguay,1,1,FIFA World Cup qualification,False
2014-06-17,England,Netherlands,0,0,FIFA World Cup,True
2014-06-18,England,Belgium,3,3,FIFA World Cup,True
2014-06-19,Germany,Uruguay,1,0,FIFA World Cup qualification,False
2014-06-19,Netherlands,Belgium,1,1,FIFA World Cup,True
2014-06-20,Brazil,Spain,2,0,FIFA World Cup,True
2014-06-21,Portugal,Uruguay,2,0,FIFA World Cup qualification,False
2014-06-21,Brazil,Argentina,1,2,FIFA World Cup,True
2014-06-22,Brazil,Portugal,3,1,FIFA World Cup,True
2014-06-23,Japan,Uruguay,3,1,FIFA World Cup qualification,False
2014-06-23,Spain,Argentina,0,1,FIFA World Cup,True
2014-06-24,Spain,Portugal,2,1,FIFA World Cup,True
2014-06-25,USA,Uruguay,1,0,FIFA World Cup qualification,False
2014-06-25,Argentina,Portugal,1,3,FIFA World Cup,True
2014-06-26,France,Spain,2,3,FIFA World Cup,True
2014-06-27,Belgium,Uruguay,1,1,FIFA World Cup qualification,False
2014-06-28,England,Brazil,2,0,FIFA World Cup,True
2014-06-29,England,Uruguay,2,1,FIFA World Cup qualification,False
2014-06-30,Netherlands,Portugal,0,2,FIFA World Cup,True
2014-07-01,Spain,Uruguay,4,2,FIFA World Cup qualification,False
2014-07-02,Belgium,Argentina,2,2,FIFA World Cup,True
2014-07-03,Brazil,Uruguay,3,0,FIFA World Cup qualification,False
2014-07-05,South Korea,Uruguay,1,4,FIFA World Cup qualification,False
2014-07-07,Argentina,Uruguay,4,1,FIFA World Cup qualification,False
2014-07-09,Germany,Croatia,3,0,FIFA World Cup qualification,False
2014-07-11,Portugal,Croatia,1,0,FIFA World Cup qualification,False
2014-07-13,Japan,Croatia,2,2,FIFA World Cup qualification,False
2014-07-15,USA,Croatia,1,1,FIFA World Cup qualification,False
2014-07-17,Belgium,Croatia,1,0,FIFA World Cup qualification,False
2014-07-19,England,Croatia,4,1,FIFA World Cup qualification,False
2014-07-21,Spain,Croatia,2,2,FIFA World Cup qualification,False
2014-07-23,Brazil,Croatia,1,0,FIFA World Cup qualification,False
2014-07-25,South Korea,Croatia,1,3,FIFA World Cup qualification,False
2014-07-27,Argentina,Croatia,0,1,FIFA World Cup qualification,False
2014-07-29,Portugal,Germany,2,0,FIFA World Cup qualification,False
2014-07-31,Japan,Germany,1,2,FIFA World Cup qualification,False
2014-08-02,USA,Germany,0,3,FIFA World Cup qualification,False
2014-08-04,Belgium,Germany,1,0,FIFA World Cup qualification,False
2014-08-06,England,Germany,0,1,FIFA World Cup qualification,False
2014-08-08,Spain,Germany,1,2,FIFA World Cup qualification,False
2014-08-10,Brazil,Germany,0,0,FIFA World Cup qualification,False
2014-08-12,South Korea,Germany,1,3,FIFA World Cup qualification,False
2014-08-14,Argentina,Germany,2,1,FIFA World Cup qualification,False
2014-08-16,Japan,Portugal,2,1,FIFA World Cup qualification,False
2014-08-18,USA,Portugal,1,2,FIFA World Cup qualification,False
2014-08-20,Belgium,Portugal,1,1,FIFA World Cup qualification,False
2014-08-22,England,Portugal,2,2,FIFA World Cup qualification,False
2014-08-24,Spain,Portugal,0,0,FIFA World Cup qualification,False
2014-08-26,Brazil,Portugal,0,2,FIFA World Cup qualification,False
2014-08-28,South Korea,Portugal,1,3,FIFA World Cup qualification,False
2014-08-30,Argentina,Portugal,2,0,FIFA World Cup qualification,False
2014-09-01,USA,Japan,0,3,FIFA World Cup qualification,False
2014-09-03,Belgium,Japan,3,0,FIFA World Cup qualification,False
2014-09-05,England,Japan,4,1,FIFA World Cup qualification,False
2014-09-05,Argentina,Portugal,1,0,Friendly,False
2014-09-07,Spain,Japan,0,0,FIFA World Cup qualification,False
2014-09-08,Mexico,Germany,0,1,Friendly,False
2014-09-09,Brazil,Japan,1,1,FIFA World Cup qualification,False
2014-09-11,South Korea,Japan,1,0,FIFA World Cup qualification,False
2014-09-11,England,Netherlands,3,1,Friendly,False
2014-09-13,Argentina,Japan,2,1,FIFA World Cup qualification,False
2014-09-14,Nigeria,France,0,0,Friendly,False
2014-09-15,Belgium,USA,4,3,FIFA World Cup qualification,False
2014-09-17,England,USA,3,0,FIFA World Cup qualification,False
2014-09-17,Belgium,Japan,2,2,Friendly,False
2014-09-19,Spain,USA,3,0,FIFA World Cup qualification,False
2014-09-20,Spain,South Korea,4,1,Friendly,False
2014-09-21,Brazil,USA,5,1,FIFA World Cup qualification,False
2014-09-23,South Korea,USA,1,1,FIFA World Cup qualification,False
2014-09-23,Croatia,Uruguay,1,0,Friendly,False
2014-09-25,Argentina,USA,2,1,FIFA World Cup qualification,False
2014-09-26,USA,Brazil,0,2,Friendly,False
2014-09-27,England,Belgium,4,2,FIFA World Cup qualification,False
2014-09-29,Spain,Belgium,1,0,FIFA World Cup qualification,False
2014-10-01,Brazil,Belgium,0,0,FIFA World Cup qualification,False
2014-10-03,South Korea,Belgium,2,1,FIFA World Cup qualification,False
2014-10-05,Argentina,Belgium,2,2,FIFA World Cup qualification,False
2014-10-07,Spain,England,3,3,FIFA World Cup qualification,False
2014-10-09,Brazil,England,1,1,FIFA World Cup qualification,False
2014-10-11,South Korea,England,3,0,FIFA World Cup qualification,False
2014-10-13,Argentina,England,4,1,FIFA World Cup qualification,False
2014-10-15,Brazil,Spain,0,0,FIFA World Cup qualification,False
2014-10-17,South Korea,Spain,1,1,FIFA World Cup qualification,False
2014-10-19,Argentina,Spain,0,0,FIFA World Cup qualification,False
2014-10-21,South Korea,Brazil,1,2,FIFA World Cup qualification,False
2014-10-23,Argentina,Brazil,4,2,FIFA World Cup qualification,False
2014-10-25,Argentina,South Korea,4,1,FIFA World Cup qualification,False
2015-03-01,Mexico,Uruguay,4,1,FIFA World Cup qualification,False
2015-03-03,Mexico,Spain,0,1,FIFA World Cup qualification,False
2015-03-05,Mexico,France,1,4,FIFA World Cup qualification,False
2015-03-07,Mexico,South Korea,1,5,FIFA World Cup qualification,False
2015-03-09,Mexico,Croatia,3,1,FIFA World Cup qualification,False
2015-03-11,Mexico,Argentina,0,0,FIFA World Cup qualification,False
2015-03-13,Mexico,USA,4,1,FIFA World Cup qualification,False
2015-03-15,Mexico,Portugal,1,4,FIFA World Cup qualification,False
2015-03-17,Mexico,Germany,4,4,FIFA World Cup qualification,False
2015-03-19,Mexico,Japan,3,0,FIFA World Cup qualification,False
2015-03-21,Mexico,Belgium,2,1,FIFA World Cup qualification,False
2015-03-23,Mexico,England,2,2,FIFA World Cup qualification,False
2015-03-25,Mexico,Nigeria,2,1,FIFA World Cup qualification,False
2015-03-27,Mexico,Brazil,2,3,FIFA World Cup qualification,False
2015-03-29,Mexico,Netherlands,1,1,FIFA World Cup qualification,False
2015-03-31,Uruguay,Spain,1,2,FIFA World Cup qualification,False
2015-04-02,Uruguay,France,3,1,FIFA World Cup qualification,False
2015-04-04,Uruguay,South Korea,3,1,FIFA World Cup qualification,False
2015-04-06,Uruguay,Croatia,3,0,FIFA World Cup qualification,False
2015-04-08,Uruguay,Argentina,2,0,FIFA World Cup qualification,False
2015-04-10,Uruguay,USA,1,0,FIFA World Cup qualification,False
2015-04-12,Uruguay,Portugal,2,2,FIFA World Cup qualification,False
2015-04-14,Uruguay,Germany,1,0,FIFA World Cup qualification,False
2015-04-16,Uruguay,Japan,2,2,FIFA World Cup qualification,False
2015-04-18,Uruguay,Belgium,1,1,FIFA World Cup qualification,False
2015-04-20,Uruguay,England,1,2,FIFA World Cup qualification,False
2015-04-22,Uruguay,Nigeria,0,1,FIFA World Cup qualification,False
2015-04-24,Uruguay,Brazil,1,1,FIFA World Cup qualification,False
2015-04-26,Uruguay,Netherlands,0,1,FIFA World Cup qualification,False
2015-04-28,Spain,France,0,2,FIFA World Cup qualification,False
2015-04-30,Spain,South Korea,7,0,FIFA World Cup qualification,False
2015-05-02,Spain,Croatia,1,2,FIFA World Cup qualification,False
2015-05-04,Spain,Argentina,2,2,FIFA World Cup qualification,False
2015-05-06,Spain,USA,3,0,FIFA World Cup qualification,False
2015-05-08,Spain,Portugal,0,0,FIFA World Cup qualification,False
2015-05-10,Spain,Germany,0,1,FIFA World Cup qualification,False
2015-05-12,Spain,Japan,2,2,FIFA World Cup qualification,False
2015-05-14,Spain,Belgium,1,4,FIFA World Cup qualification,False
2015-05-16,Spain,England,2,2,FIFA World Cup qualification,False
2015-05-18,Spain,Nigeria,1,0,FIFA World Cup qualification,False
2015-05-20,Spain,Brazil,1,0,FIFA World Cup qualification,False
2015-05-22,Spain,Netherlands,0,0,FIFA World Cup qualification,False
2015-05-24,France,South Korea,2,0,FIFA World Cup qualification,False
2015-05-26,France,Croatia,2,2,FIFA World Cup qualification,False
2015-05-28,France,Argentina,1,3,FIFA World Cup qualification,False
2015-05-30,France,USA,3,1,FIFA World Cup qualification,False
2015-06-01,France,Portugal,4,1,FIFA World Cup qualification,False
2015-06-03,France,Germany,2,0,FIFA World Cup qualification,False
2015-06-05,France,Japan,2,0,FIFA World Cup qualification,False
2015-06-07,France,Belgium,2,2,FIFA World Cup qualification,False
2015-06-09,France,England,4,1,FIFA World Cup qualification,False
2015-06-11,France,Nigeria,2,0,FIFA World Cup qualification,False
2015-06-13,France,Brazil,0,1,FIFA World Cup qualification,False
2015-06-15,France,Netherlands,1,1,FIFA World Cup qualification,False
2015-06-17,South Korea,Croatia,0,1,FIFA World Cup qualification,False
2015-06-19,South Korea,Argentina,0,1,FIFA World Cup qualification,False
2015-06-21,South Korea,USA,1,0,FIFA World Cup qualification,False
2015-06-23,South Korea,Portugal,0,2,FIFA World Cup qualification,False
2015-06-25,South Korea,Germany,0,0,FIFA World Cup qualification,False
2015-06-27,South Korea,Japan,1,0,FIFA World Cup qualification,False
2015-06-29,South Korea,Belgium,0,4,FIFA World Cup qualification,False
2015-07-01,South Korea,England,1,2,FIFA World Cup qualification,False
2015-07-03,South Korea,Nigeria,1,2,FIFA World Cup qualification,False
2015-07-05,South Korea,Brazil,1,3,FIFA World Cup qualification,False
2015-07-07,South Korea,Netherlands,2,0,FIFA World Cup qualification,False
2015-07-09,Croatia,Argentina,0,1,FIFA World Cup qualification,False
2015-07-11,Croatia,USA,2,0,FIFA World Cup qualification,False
2015-07-13,Croatia,Portugal,1,2,FIFA World Cup qualification,False
2015-07-15,Croatia,Germany,1,1,FIFA World Cup qualification,False
2015-07-17,Croatia,Japan,4,0,FIFA World Cup qualification,False
2015-07-19,Croatia,Belgium,1,1,FIFA World Cup qualification,False
2015-07-21,Croatia,England,1,1,FIFA World Cup qualification,False
2015-07-23,Croatia,Nigeria,4,1,FIFA World Cup qualification,False
2015-07-25,Croatia,Brazil,2,0,FIFA World Cup qualification,False
2015-07-27,Croatia,Netherlands,0,1,FIFA World Cup qualification,False
2015-07-29,Argentina,USA,2,1,FIFA World Cup qualification,False
2015-07-31,Argentina,Portugal,1,0,FIFA World Cup qualification,False
2015-08-02,Argentina,Germany,1,1,FIFA World Cup qualification,False
2015-08-04,Argentina,Japan,0,2,FIFA World Cup qualification,False
2015-08-06,Argentina,Belgium,4,0,FIFA World Cup qualification,False
2015-08-08,Argentina,England,0,1,FIFA World Cup qualification,False
2015-08-10,Argentina,Nigeria,1,1,FIFA World Cup qualification,False
2015-08-12,Argentina,Brazil,3,1,FIFA World Cup qualification,False
2015-08-14,Argentina,Netherlands,2,1,FIFA World Cup qualification,False
2015-08-16,USA,Portugal,2,1,FIFA World Cup qualification,False
2015-08-18,USA,Germany,2,0,FIFA World Cup qualification,False
2015-08-20,USA,Japan,3,1,FIFA World Cup qualification,False
2015-08-22,USA,Belgium,2,1,FIFA World Cup qualification,False
2015-08-24,USA,England,1,2,FIFA World Cup qualification,False
2015-08-26,USA,Nigeria,0,1,FIFA World Cup qualification,False
2015-08-28,USA,Brazil,1,1,FIFA World Cup qualification,False
2015-08-30,USA,Netherlands,0,2,FIFA World Cup qualification,False
2015-09-01,Portugal,Germany,1,0,FIFA World Cup qualification,False
2015-09-03,Portugal,Japan,4,2,FIFA World Cup qualification,False
2015-09-05,Portugal,Belgium,2,1,FIFA World Cup qualification,False
2015-09-05,Belgium,Portugal,2,1,Friendly,False
2015-09-07,Portugal,England,3,1,FIFA World Cup qualification,False
2015-09-08,Spain,Netherlands,0,0,Friendly,False
2015-09-09,Portugal,Nigeria,1,1,FIFA World Cup qualification,False
2015-09-11,Portugal,Brazil,0,2,FIFA World Cup qualification,False
2015-09-11,Uruguay,South Korea,2,0,Friendly,False
2015-09-13,Portugal,Netherlands,1,2,FIFA World Cup qualification,False
2015-09-14,England,Japan,1,2,Friendly,False
2015-09-15,Germany,Japan,6,1,FIFA World Cup qualification,False
2015-09-17,Germany,Belgium,1,3,FIFA World Cup qualification,False
2015-09-17,Mexico,Brazil,1,0,Friendly,False
2015-09-19,Germany,England,0,1,FIFA World Cup qualification,False
2015-09-20,France,USA,5,1,Friendly,False
2015-09-21,Germany,Nigeria,6,0,FIFA World Cup qualification,False
2015-09-23,Germany,Brazil,1,0,FIFA World Cup qualification,False
2015-09-23,Croatia,Germany,0,0,Friendly,False
2015-09-25,Germany,Netherlands,1,3,FIFA World Cup qualification,False
2015-09-26,Nigeria,Argentina,0,0,Friendly,False
2015-09-27,Japan,Belgium,1,0,FIFA World Cup qualification,False
2015-09-29,Japan,England,1,2,FIFA World Cup qualification,False
2015-10-01,Japan,Nigeria,2,1,FIFA World Cup qualification,False
2015-10-03,Japan,Brazil,0,1,FIFA World Cup qualification,False
2015-10-05,Japan,Netherlands,1,1,FIFA World Cup qualification,False
2015-10-07,Belgium,England,1,3,FIFA World Cup qualification,False
2015-10-09,Belgium,Nigeria,0,0,FIFA World Cup qualification,False
2015-10-11,Belgium,Brazil,3,2,FIFA World Cup qualification,False
2015-10-13,Belgium,Netherlands,0,1,FIFA World Cup qualification,False
2015-10-15,England,Nigeria,5,0,FIFA World Cup qualification,False
2015-10-17,England,Brazil,1,0,FIFA World Cup qualification,False
2015-10-19,England,Netherlands,0,1,FIFA World Cup qualification,False
2015-10-21,Nigeria,Brazil,0,4,FIFA World Cup qualification,False
2015-10-23,Nigeria,Netherlands,2,0,FIFA World Cup qualification,False
2015-10-25,Brazil,Netherlands,0,0,FIFA World Cup qualification,False
2016-03-01,Belgium,Netherlands,1,3,FIFA World Cup qualification,False
2016-03-03,USA,Netherlands,2,2,FIFA World Cup qualification,False
2016-03-05,Nigeria,Netherlands,0,1,FIFA World Cup qualification,False
2016-03-07,Brazil,Netherlands,0,0,FIFA World Cup qualification,False
2016-03-09,England,Netherlands,2,2,FIFA World Cup qualification,False
2016-03-11,Croatia,Netherlands,2,1,FIFA World Cup qualification,False
2016-03-13,Argentina,Netherlands,4,0,FIFA World Cup qualification,False
2016-03-15,Germany,Netherlands,1,1,FIFA World Cup qualification,False
2016-03-17,South Korea,Netherlands,1,0,FIFA World Cup qualification,False
2016-03-19,Portugal,Netherlands,0,1,FIFA World Cup qualification,False
2016-03-21,Japan,Netherlands,1,1,FIFA World Cup qualification,False
2016-03-23,France,Netherlands,2,3,FIFA World Cup qualification,False
2016-03-25,Uruguay,Netherlands,3,1,FIFA World Cup qualification,False
2016-03-27,Spain,Netherlands,1,0,FIFA World Cup qualification,False
2016-03-29,Mexico,Netherlands,0,0,FIFA World Cup qualification,False
2016-03-31,USA,Belgium,2,0,FIFA World Cup qualification,False
2016-04-02,Nigeria,Belgium,1,3,FIFA World Cup qualification,False
2016-04-04,Brazil,Belgium,3,0,FIFA World Cup qualification,False
2016-04-06,England,Belgium,2,2,FIFA World Cup qualification,False
2016-04-08,Croatia,Belgium,0,0,FIFA World Cup qualification,False
2016-04-10,Argentina,Belgium,1,3,FIFA World Cup qualification,False
2016-04-12,Germany,Belgium,1,1,FIFA World Cup qualification,False
2016-04-14,South Korea,Belgium,0,1,FIFA World Cup qualification,False
2016-04-16,Portugal,Belgium,3,3,FIFA World Cup qualification,False
2016-04-18,Japan,Belgium,0,2,FIFA World Cup qualification,False
2016-04-20,France,Belgium,1,1,FIFA World Cup qualification,False
2016-04-22,Uruguay,Belgium,2,2,FIFA World Cup qualification,False
2016-04-24,Spain,Belgium,0,2,FIFA World Cup qualification,False
2016-04-26,Mexico,Belgium,2,0,FIFA World Cup qualification,False
2016-04-28,Nigeria,USA,0,0,FIFA World Cup qualification,False
2016-04-30,Brazil,USA,2,1,FIFA World Cup qualification,False
2016-05-02,England,USA,3,1,FIFA World Cup qualification,False
2016-05-04,Croatia,USA,1,2,FIFA World Cup qualification,False
2016-05-06,Argentina,USA,2,1,FIFA World Cup qualification,False
2016-05-08,Germany,USA,2,2,FIFA World Cup qualification,False
2016-05-10,South Korea,USA,3,0,FIFA World Cup qualification,False
2016-05-12,Portugal,USA,4,0,FIFA World Cup qualification,False
2016-05-14,Japan,USA,2,2,FIFA World Cup qualification,False
2016-05-16,France,USA,1,1,FIFA World Cup qualification,False
2016-05-18,Uruguay,USA,6,1,FIFA World Cup qualification,False
2016-05-20,Spain,USA,1,1,FIFA World Cup qualification,False
2016-05-22,Mexico,USA,1,2,FIFA World Cup qualification,False
2016-05-24,Brazil,Nigeria,4,0,FIFA World Cup qualification,False
2016-05-26,England,Nigeria,1,3,FIFA World Cup qualification,False
2016-05-28,Croatia,Nigeria,3,1,FIFA World Cup qualification,False
2016-05-30,Argentina,Nigeria,1,1,FIFA World Cup qualification,False
2016-06-01,Germany,Nigeria,1,0,FIFA World Cup qualification,False
2016-06-03,South Korea,Nigeria,3,2,FIFA World Cup qualification,False
2016-06-05,Portugal,Nigeria,1,0,FIFA World Cup qualification,False
2016-06-07,Japan,Nigeria,4,2,FIFA World Cup qualification,False
2016-06-09,France,Nigeria,0,0,FIFA World Cup qualification,False
2016-06-11,Uruguay,Nigeria,3,0,FIFA World Cup qualification,False
2016-06-13,Spain,Nigeria,4,1,FIFA World Cup qualification,False
2016-06-15,Mexico,Nigeria,5,3,FIFA World Cup qualification,False
2016-06-17,England,Brazil,2,2,FIFA World Cup qualification,False
2016-06-19,Croatia,Brazil,2,3,FIFA World Cup qualification,False
2016-06-21,Argentina,Brazil,2,0,FIFA World Cup qualification,False
2016-06-23,Germany,Brazil,2,2,FIFA World Cup qualification,False
2016-06-25,South Korea,Brazil,0,7,FIFA World Cup qualification,False
2016-06-27,Portugal,Brazil,2,1,FIFA World Cup qualification,False
2016-06-29,Japan,Brazil,0,2,FIFA World Cup qualification,False
2016-07-01,France,Brazil,0,2,FIFA World Cup qualification,False
2016-07-03,Uruguay,Brazil,0,1,FIFA World Cup qualification,False
2016-07-05,Spain,Brazil,2,1,FIFA World Cup qualification,False
2016-07-07,Mexico,Brazil,0,3,FIFA World Cup qualification,False
2016-07-09,Croatia,England,1,2,FIFA World Cup qualification,False
2016-07-11,Argentina,England,3,1,FIFA World Cup qualification,False
2016-07-13,Germany,England,4,3,FIFA World Cup qualification,False
2016-07-15,South Korea,England,4,2,FIFA World Cup qualification,False
2016-07-17,Portugal,England,1,1,FIFA World Cup qualification,False
2016-07-19,Japan,England,1,1,FIFA World Cup qualification,False
2016-07-21,France,England,3,2,FIFA World Cup qualification,False
2016-07-23,Uruguay,England,2,2,FIFA World Cup qualification,False
2016-07-25,Spain,England,0,0,FIFA World Cup qualification,False
2016-07-27,Mexico,England,5,0,FIFA World Cup qualification,False
2016-07-29,Argentina,Croatia,1,1,FIFA World Cup qualification,False
2016-07-31,Germany,Croatia,0,0,FIFA World Cup qualification,False
2016-08-02,South Korea,Croatia,0,1,FIFA World Cup qualification,False
2016-08-04,Portugal,Croatia,3,1,FIFA World Cup qualification,False
2016-08-06,Japan,Croatia,0,2,FIFA World Cup qualification,False
2016-08-08,France,Croatia,1,2,FIFA World Cup qualification,False
2016-08-10,Uruguay,Croatia,3,0,FIFA World Cup qualification,False
2016-08-12,Spain,Croatia,3,0,FIFA World Cup qualification,False
2016-08-14,Mexico,Croatia,1,2,FIFA World Cup qualification,False
2016-08-16,Germany,Argentina,0,1,FIFA World Cup qualification,False
2016-08-18,South Korea,Argentina,0,2,FIFA World Cup qualification,False
2016-08-20,Portugal,Argentina,0,1,FIFA World Cup qualification,False
2016-08-22,Japan,Argentina,0,1,FIFA World Cup qualification,False
2016-08-24,France,Argentina,1,0,FIFA World Cup qualification,False
2016-08-26,Uruguay,Argentina,2,0,FIFA World Cup qualification,False
2016-08-28,Spain,Argentina,3,1,FIFA World Cup qualification,False
2016-08-30,Mexico,Argentina,0,2,FIFA World Cup qualification,False
2016-09-01,South Korea,Germany,1,3,FIFA World Cup qualification,False
2016-09-03,Portugal,Germany,1,0,FIFA World Cup qualification,False
2016-09-05,Japan,Germany,1,2,FIFA World Cup qualification,False
2016-09-05,South Korea,France,1,3,Friendly,False
2016-09-07,France,Germany,0,2,FIFA World Cup qualification,False
2016-09-08,Japan,Croatia,2,1,Friendly,False
2016-09-09,Uruguay,Germany,1,1,FIFA World Cup qualification,False
2016-09-11,Spain,Germany,2,0,FIFA World Cup qualification,False
2016-09-11,Nigeria,Argentina,1,2,Friendly,False
2016-09-13,Mexico,Germany,0,0,FIFA World Cup qualification,False
2016-09-14,Belgium,Brazil,2,3,Friendly,False
2016-09-15,Portugal,South Korea,2,2,FIFA World Cup qualification,False
2016-09-17,Japan,South Korea,0,1,FIFA World Cup qualification,False
2016-09-17,England,Spain,1,1,Friendly,False
2016-09-19,France,South Korea,9,2,FIFA World Cup qualification,False
2016-09-20,Germany,Mexico,2,0,Friendly,False
2016-09-21,Uruguay,South Korea,4,1,FIFA World Cup qualification,False
2016-09-23,Spain,South Korea,6,1,FIFA World Cup qualification,False
2016-09-23,USA,Netherlands,2,0,Friendly,False
2016-09-25,Mexico,South Korea,3,0,FIFA World Cup qualification,False
2016-09-26,Portugal,Uruguay,1,1,Friendly,False
2016-09-27,Japan,Portugal,2,1,FIFA World Cup qualification,False
2016-09-29,France,Portugal,2,0,FIFA World Cup qualification,False
2016-10-01,Uruguay,Portugal,1,2,FIFA World Cup qualification,False
2016-10-03,Spain,Portugal,1,1,FIFA World Cup qualification,False
2016-10-05,Mexico,Portugal,2,1,FIFA World Cup qualification,False
2016-10-07,France,Japan,3,3,FIFA World Cup qualification,False
2016-10-09,Uruguay,Japan,4,2,FIFA World Cup qualification,False
2016-10-11,Spain,Japan,3,2,FIFA World Cup qualification,False
2016-10-13,Mexico,Japan,2,1,FIFA World Cup qualification,False
2016-10-15,Uruguay,France,0,3,FIFA World Cup qualification,False
2016-10-17,Spain,France,1,0,FIFA World Cup qualification,False
2016-10-19,Mexico,France,0,1,FIFA World Cup qualification,False
2016-10-21,Spain,Uruguay,0,0,FIFA World Cup qualification,False
2016-10-23,Mexico,Uruguay,4,0,FIFA World Cup qualification,False
2016-10-25,Mexico,Spain,1,1,FIFA World Cup qualification,False
2017-03-01,Mexico,Argentina,0,2,FIFA World Cup qualification,False
2017-03-03,Mexico,Netherlands,1,3,FIFA World Cup qualification,False
2017-03-05,Mexico,USA,2,3,FIFA World Cup qualification,False
2017-03-07,Mexico,Nigeria,1,1,FIFA World Cup qualification,False
2017-03-09,Mexico,South Korea,3,0,FIFA World Cup qualification,False
2017-03-11,Mexico,Spain,0,0,FIFA World Cup qualification,False
2017-03-13,Mexico,France,3,5,FIFA World Cup qualification,False
2017-03-15,Mexico,Uruguay,2,1,FIFA World Cup qualification,False
2017-03-17,Mexico,Germany,1,2,FIFA World Cup qualification,False
2017-03-19,Mexico,Japan,3,2,FIFA World Cup qualification,False
2017-03-21,Mexico,Belgium,0,3,FIFA World Cup qualification,False
2017-03-23,Mexico,England,0,1,FIFA World Cup qualification,False
2017-03-25,Mexico,Brazil,0,2,FIFA World Cup qualification,False
2017-03-27,Mexico,Portugal,0,0,FIFA World Cup qualification,False
2017-03-29,Mexico,Croatia,0,1,FIFA World Cup qualification,False
2017-03-31,Argentina,Netherlands,1,0,FIFA World Cup qualification,False
2017-04-02,Argentina,USA,2,3,FIFA World Cup qualification,False
2017-04-04,Argentina,Nigeria,3,0,FIFA World Cup qualification,False
2017-04-06,Argentina,South Korea,1,1,FIFA World Cup qualification,False
2017-04-08,Argentina,Spain,1,1,FIFA World Cup qualification,False
2017-04-10,Argentina,France,1,1,FIFA World Cup qualification,False
2017-04-12,Argentina,Uruguay,1,0,FIFA World Cup qualification,False
2017-04-14,Argentina,Germany,0,0,FIFA World Cup qualification,False
2017-04-16,Argentina,Japan,1,1,FIFA World Cup qualification,False
2017-04-18,Argentina,Belgium,2,0,FIFA World Cup qualification,False
2017-04-20,Argentina,England,0,0,FIFA World Cup qualification,False
2017-04-22,Argentina,Brazil,4,0,FIFA World Cup qualification,False
2017-04-24,Argentina,Portugal,1,0,FIFA World Cup qualification,False
2017-04-26,Argentina,Croatia,0,1,FIFA World Cup qualification,False
2017-04-28,Netherlands,USA,2,1,FIFA World Cup qualification,False
2017-04-30,Netherlands,Nigeria,2,0,FIFA World Cup qualification,False
2017-05-02,Netherlands,South Korea,1,0,FIFA World Cup qualification,False
2017-05-04,Netherlands,Spain,0,1,FIFA World Cup qualification,False
2017-05-06,Netherlands,France,2,1,FIFA World Cup qualification,False
2017-05-08,Netherlands,Uruguay,1,0,FIFA World Cup qualification,False
2017-05-10,Netherlands,Germany,2,3,FIFA World Cup qualification,False
2017-05-12,Netherlands,Japan,3,1,FIFA World Cup qualification,False
2017-05-14,Netherlands,Belgium,1,2,FIFA World Cup qualification,False
2017-05-16,Netherlands,England,2,2,FIFA World Cup qualification,False
2017-05-18,Netherlands,Brazil,0,0,FIFA World Cup qualification,False
2017-05-20,Netherlands,Portugal,3,1,FIFA World Cup qualification,False
2017-05-22,Netherlands,Croatia,4,3,FIFA World Cup qualification,False
2017-05-24,USA,Nigeria,1,1,FIFA World Cup qualification,False
2017-05-26,USA,South Korea,2,2,FIFA World Cup qualification,False
2017-05-28,USA,Spain,0,0,FIFA World Cup qualification,False
2017-05-30,USA,France,1,1,FIFA World Cup qualification,False
2017-06-01,USA,Uruguay,1,1,FIFA World Cup qualification,False
